draw,subj_idx,rt_quintile,subject_mean
0,22,4,0.4230769230769231
0,22,5,0.4
0,23,1,0.42424242424242425
0,23,2,0.5277777777777778
0,23,3,0.5714285714285714
0,23,4,0.45454545454545453
0,23,5,0.5666666666666667
0,24,1,0.4339622641509434
0,24,2,0.532608695652174
0,24,3,0.631578947368421
0,24,4,0.484375
0,24,5,0.6041666666666666
0,25,1,0.52
0,25,2,0.2857142857142857
0,25,3,0.5
0,25,4,1.0
0,25,5,
0,27,1,0.48344370860927155
0,27,2,0.4948453608247423
0,27,3,0.543859649122807
0,27,4,0.3333333333333333
0,27,5,0.5
1,1,1,0.4318181818181818
1,1,2,0.5063291139240507
1,1,3,0.5205479452054794
1,1,4,0.5897435897435898
1,1,5,0.5465116279069767
1,3,1,0.5833333333333334
1,3,2,0.5070422535211268
1,3,3,0.5223880597014925
1,3,4,0.5375
1,3,5,0.5339805825242718
1,4,1,0.5
1,4,2,0.4642857142857143
1,4,3,0.6078431372549019
1,4,4,0.5315315315315315
1,4,5,0.4470588235294118
1,5,1,0.5833333333333334
1,5,2,0.38095238095238093
1,5,3,0.5595238095238095
1,5,4,0.425531914893617
1,5,5,0.34579439252336447
1,7,1,0.375
1,7,2,0.4032258064516129
1,7,3,0.5494505494505495
1,7,4,0.47959183673469385
1,7,5,0.5102040816326531
1,8,1,0.3488372093023256
1,8,2,0.5465116279069767
1,8,3,0.4942528735632184
1,8,4,0.4722222222222222
1,8,5,0.5797101449275363
1,10,1,0.4457831325301205
1,10,2,0.41379310344827586
1,10,3,0.3
1,10,4,0.4
1,10,5,0.5
1,11,1,0.5517241379310345
1,11,2,0.5365853658536586
1,11,3,0.45121951219512196
1,11,4,0.46236559139784944
1,11,5,0.5135135135135135
1,12,1,0.631578947368421
1,12,2,0.6666666666666666
1,12,3,0.5571428571428572
1,12,4,0.5294117647058824
1,12,5,0.48672566371681414
1,13,1,0.53125
1,13,2,0.4772727272727273
1,13,3,0.5189873417721519
1,13,4,0.5384615384615384
1,13,5,0.52
1,15,1,0.45454545454545453
1,15,2,0.4606741573033708
1,15,3,0.5102040816326531
1,15,4,0.532258064516129
1,15,5,0.5111111111111111
1,16,1,1.0
1,16,2,0.3333333333333333
1,16,3,0.4634146341463415
1,16,4,0.4375
1,16,5,0.4883720930232558
1,17,1,0.5
1,17,2,0.3902439024390244
1,17,3,0.5277777777777778
1,17,4,0.65
1,17,5,0.6046511627906976
