draw,subj_idx,rt_quintile,subject_mean
1,26,5,0.6574074074074074
2,2,1,0.5
2,2,2,0.5375
2,2,3,0.5833333333333334
2,2,4,0.53125
2,2,5,0.38
2,3,1,0.7857142857142857
2,3,2,0.671875
2,3,3,0.6153846153846154
2,3,4,0.6888888888888889
2,3,5,0.7045454545454546
2,7,1,0.2
2,7,2,0.3939393939393939
2,7,3,0.52
2,7,4,0.6578947368421053
2,7,5,0.5542168674698795
2,8,1,0.5555555555555556
2,8,2,0.4032258064516129
2,8,3,0.4444444444444444
2,8,4,0.42105263157894735
2,8,5,0.4482758620689655
2,9,1,0.38461538461538464
2,9,2,0.3220338983050847
2,9,3,0.5256410256410257
2,9,4,0.589041095890411
2,9,5,0.4880952380952381
2,10,1,
2,10,2,0.5135135135135135
2,10,3,0.3853211009174312
2,10,4,0.3302752293577982
2,10,5,0.453125
2,11,1,0.6153846153846154
2,11,2,0.4457831325301205
2,11,3,0.4883720930232558
2,11,4,0.43478260869565216
2,11,5,0.6333333333333333
2,12,1,0.5384615384615384
2,12,2,0.5
2,12,3,0.47368421052631576
2,12,4,0.5569620253164557
2,12,5,0.4125
2,13,1,0.41935483870967744
2,13,2,0.4528301886792453
2,13,3,0.5416666666666666
2,13,4,0.25
2,13,5,0.14285714285714285
2,15,1,0.20930232558139536
2,15,2,0.484375
2,15,3,0.5161290322580645
2,15,4,0.46938775510204084
2,15,5,0.6666666666666666
2,16,1,0.46551724137931033
2,16,2,0.6081081081081081
2,16,3,0.5142857142857142
2,16,4,0.56
2,16,5,0.6363636363636364
2,17,1,0.4857142857142857
2,17,2,0.43157894736842106
2,17,3,0.2653061224489796
2,17,4,0.44680851063829785
2,17,5,0.5833333333333334
2,18,1,0.6888888888888889
2,18,2,0.54
2,18,3,0.5208333333333334
2,18,4,0.4642857142857143
2,18,5,0.5964912280701754
2,19,1,0.4117647058823529
2,19,2,0.5306122448979592
2,19,3,0.5306122448979592
2,19,4,0.43902439024390244
2,19,5,0.5
2,20,1,0.1
2,20,2,0.3333333333333333
2,20,3,0.45714285714285713
2,20,4,0.47619047619047616
2,20,5,0.5194805194805194
2,21,1,0.0
2,21,2,0.20408163265306123
2,21,3,0.5421686746987951
2,21,4,0.5365853658536586
2,21,5,0.5625
2,22,1,0.5121951219512195
2,22,2,0.65625
2,22,3,0.417910447761194
2,22,4,0.4838709677419355
2,22,5,0.4883720930232558
2,23,1,0.6911764705882353
2,23,2,0.48333333333333334
2,23,3,0.3870967741935484
2,23,4,0.5254237288135594
2,23,5,0.4393939393939394
2,24,1,0.6176470588235294
2,24,2,0.6338028169014085
2,24,3,0.6415094339622641
2,24,4,0.6842105263157895
2,24,5,0.4864864864864865
2,25,1,0.0
2,25,2,0.2
2,25,3,0.423728813559322
2,25,4,0.5061728395061729
2,25,5,0.5238095238095238
2,26,1,
2,26,2,0.19047619047619047
2,26,3,0.5227272727272727
2,26,4,0.49056603773584906
2,26,5,0.5333333333333333
3,2,1,0.5357142857142857
3,2,2,0.5060240963855421
3,2,3,0.44594594594594594
3,2,4,0.5294117647058824
3,2,5,0.38461538461538464
3,3,1,0.8434782608695652
3,3,2,0.6896551724137931
