draw,subj_idx,rt_quintile,subject_mean
6,18,5,0.375
6,19,1,0.3333333333333333
6,19,2,0.42424242424242425
6,19,3,0.6206896551724138
6,19,4,0.5161290322580645
6,19,5,0.5230769230769231
6,20,1,0.058823529411764705
6,20,2,0.3018867924528302
6,20,3,0.4642857142857143
6,20,4,0.4810126582278481
6,20,5,0.5402298850574713
6,21,1,0.08333333333333333
6,21,2,0.1724137931034483
6,21,3,0.41509433962264153
6,21,4,0.52
6,21,5,0.5901639344262295
6,22,1,0.4782608695652174
6,22,2,0.5897435897435898
6,22,3,0.6212121212121212
6,22,4,0.5892857142857143
6,22,5,0.32432432432432434
6,23,1,0.5822784810126582
6,23,2,0.4722222222222222
6,23,3,0.40816326530612246
6,23,4,0.49056603773584906
6,23,5,0.4838709677419355
6,24,1,0.5188679245283019
6,24,2,0.5967741935483871
6,24,3,0.660377358490566
6,24,4,0.6885245901639344
6,24,5,0.5789473684210527
6,25,1,0.0
6,25,2,0.35
6,25,3,0.27450980392156865
6,25,4,0.391304347826087
6,25,5,0.5681818181818182
6,26,1,
6,26,2,0.32142857142857145
6,26,3,0.48863636363636365
6,26,4,0.5714285714285714
6,26,5,0.6371681415929203
7,2,1,0.5
7,2,2,0.46987951807228917
7,2,3,0.423728813559322
7,2,4,0.5616438356164384
7,2,5,0.5294117647058824
7,3,1,0.875
7,3,2,0.65625
7,3,3,0.5961538461538461
7,3,4,0.5238095238095238
7,3,5,0.3191489361702128
7,7,1,0.375
7,7,2,0.509090909090909
7,7,3,0.4166666666666667
7,7,4,0.5507246376811594
7,7,5,0.54
7,8,1,0.572463768115942
7,8,2,0.4507042253521127
7,8,3,0.44680851063829785
7,8,4,0.4666666666666667
7,8,5,0.46875
7,9,1,0.3076923076923077
7,9,2,0.39344262295081966
7,9,3,0.5
7,9,4,0.4875
7,9,5,0.6590909090909091
7,10,1,
7,10,2,0.5740740740740741
7,10,3,0.3925233644859813
7,10,4,0.36082474226804123
7,10,5,0.3442622950819672
7,11,1,0.4492753623188406
7,11,2,0.47368421052631576
7,11,3,0.6086956521739131
7,11,4,0.525
7,11,5,0.42105263157894735
7,12,1,0.36
7,12,2,0.5
7,12,3,0.4794520547945205
7,12,4,0.5454545454545454
7,12,5,0.45569620253164556
7,13,1,0.4358974358974359
7,13,2,0.37254901960784315
7,13,3,0.5714285714285714
7,13,4,0.5
7,13,5,1.0
7,15,1,0.2
7,15,2,0.5285714285714286
7,15,3,0.5
7,15,4,0.55
7,15,5,0.4864864864864865
7,16,1,0.3592814371257485
7,16,2,0.5081967213114754
7,16,3,0.6181818181818182
7,16,4,0.4482758620689655
7,16,5,0.5714285714285714
7,17,1,0.4044943820224719
7,17,2,0.42857142857142855
7,17,3,0.5074626865671642
7,17,4,0.45454545454545453
7,17,5,0.5116279069767442
7,18,1,0.7428571428571429
7,18,2,0.6065573770491803
7,18,3,0.4666666666666667
7,18,4,0.3
7,18,5,0.5538461538461539
7,19,1,0.38461538461538464
7,19,2,0.4186046511627907
7,19,3,0.6153846153846154
7,19,4,0.5892857142857143
7,19,5,0.6
7,20,1,0.2
7,20,2,0.3424657534246575
7,20,3,0.4166666666666667
7,20,4,0.5061728395061729
7,20,5,0.6075949367088608
7,21,1,0.0
7,21,2,0.20454545454545456
7,21,3,0.4647887323943662
7,21,4,0.4642857142857143
7,21,5,0.5811965811965812
7,22,1,0.5609756097560976
7,22,2,0.5730337078651685
7,22,3,0.46938775510204084
