rep,subj,parameter,true,recovered
6,27,a(low),2.284299025921948,2.2840229468440874
6,1,a(medium),1.9331924796204132,1.946051001928243
6,3,a(medium),2.2291456841203265,2.2746884747072946
6,4,a(medium),2.433382005380346,2.2096400370620812
6,5,a(medium),1.8940041639248446,1.8357511669266426
6,7,a(medium),2.2952367686168698,2.046662349326545
6,8,a(medium),2.5431701906065505,2.4272672625257647
6,10,a(medium),1.4793972638493411,1.5142470268808836
6,11,a(medium),1.4328757961565164,1.35530303283119
6,12,a(medium),1.4713469925058948,1.4696075932106254
6,13,a(medium),2.3031655522077377,2.501805708584613
6,15,a(medium),1.2935640281480687,1.2583918435950285
6,16,a(medium),2.750400764325177,2.7424383141000575
6,17,a(medium),2.5756500765881323,2.398216774938166
6,19,a(medium),1.9333522349514638,2.0378308346519343
6,21,a(medium),1.5796443563247984,1.5979096048196497
6,22,a(medium),2.5057430713494298,2.4289398362845045
6,23,a(medium),1.9939536467028947,1.7760838056025343
6,24,a(medium),1.8107503206336133,1.8831504624859028
6,25,a(medium),1.4386412862882167,1.3043330136892604
6,27,a(medium),1.253114822256446,1.320350452020602
6,1,t,0.5675057048042016,0.5787369283685094
6,3,t,0.4561691944462227,0.4531080946744034
6,4,t,0.4643618527556201,0.4826598199438641
6,5,t,0.39081938046061776,0.3947917832275628
6,7,t,0.44747717646432295,0.4662707428385678
6,8,t,0.5019203628289012,0.5018375112635549
6,10,t,0.5916846096697188,0.5865388154360576
6,11,t,0.6188144632620269,0.6201010121677382
6,12,t,0.39701743097949144,0.39519577658511684
6,13,t,0.4841179509148208,0.4819567500011038
6,15,t,0.5055554707351672,0.5040632305437726
6,16,t,0.44188900251589996,0.4435121145653268
6,17,t,0.5818738694167684,0.5982748061908574
6,19,t,0.3144205313166502,0.311480471082273
6,21,t,0.3467361051493912,0.34646799691473534
6,22,t,0.4533713361934652,0.4483770845944682
6,23,t,0.40929227947633023,0.41545573027258964
6,24,t,0.4267928982770673,0.42738734713840215
6,25,t,0.22132007876701326,0.21345627033663409
6,27,t,0.2956372499419987,0.29763932839632934
6,1,z,0.46513804297501404,0.4394972934842454
6,3,z,0.28103572231656004,0.2936626328056116
6,4,z,0.3742513496396377,0.3794050456976557
6,5,z,0.4389683273409433,0.43455760593170245
6,7,z,0.43107786836383943,0.44127000964316304
6,8,z,0.6725336090209847,0.6508902131621875
6,10,z,0.5792270841651124,0.5571425854723846
6,11,z,0.17190831095720788,0.1631605774280645
6,12,z,0.17842078542290668,0.2011200395423452
6,13,z,0.45176411710299014,0.4493623440896297
6,15,z,0.3001195231391681,0.30879746266739555
6,16,z,0.4021774669503136,0.4022858977201822
6,17,z,0.38305200783189375,0.4253614263961414
6,19,z,0.44687346163627295,0.44041788890064865
6,21,z,0.35417013829510774,0.3374658708575914
6,22,z,0.428005666065749,0.44475533236382114
6,23,z,0.44471185945879316,0.46926123224522975
6,24,z,0.2818439460704432,0.258215389092437
6,25,z,0.3131802049600113,0.3295790889531939
6,27,z,0.5112270379771563,0.5452863040844453
6,1,v_ES_AttentionW,0.02176345484600958,0.025508667074224323
6,3,v_ES_AttentionW,0.03244180660956718,0.03572145292319182
6,4,v_ES_AttentionW,0.031932933691834024,0.03237571024724035
6,5,v_ES_AttentionW,0.058962438508459836,0.05601315067970656
6,7,v_ES_AttentionW,0.0385521280879255,0.043547557341142774
6,8,v_ES_AttentionW,0.046749664059583834,0.046180389844543514
6,10,v_ES_AttentionW,0.02383772884763129,0.019805289359812652
6,11,v_ES_AttentionW,0.013631399734186748,0.012575602573736107
6,12,v_ES_AttentionW,0.015134311308322872,0.01551996287512457
6,13,v_ES_AttentionW,0.03291943194953473,0.0333854848780815
6,15,v_ES_AttentionW,0.02996292367503354,0.035176508967010654
6,16,v_ES_AttentionW,0.03103594696868679,0.0314252361277244
6,17,v_ES_AttentionW,0.03153171572133628,0.03228668933201189
6,19,v_ES_AttentionW,0.04482357777296853,0.047404694954362746
