draw,dwell_quintile,p_choose_S,draw_subject_sd,n_subjects,draw_subject_sem
27,S>>E,0.5017402377969462,0.09311918859726542,21,0.02032027287618274
28,E>>S,0.5920596705946229,0.15268904260426838,21,0.033319480739257
28,E>S,0.47692949910557675,0.13353735772111652,21,0.029140240469591055
28,S~E,0.47050773976347926,0.100746396178517,21,0.021984666022955426
28,S>E,0.4519155957658566,0.10439108213294583,21,0.02278000170250364
28,S>>E,0.5247113622918173,0.10006406392998778,21,0.021835768919241397
29,E>>S,0.5804631552926676,0.14781629867859877,21,0.03225616084013713
29,E>S,0.5042923960225604,0.1374316364390141,21,0.02999004175540159
29,S~E,0.45583966158319766,0.10366630726679414,21,0.022621842860315943
29,S>E,0.453177936444063,0.09885524656611529,21,0.02157198334441651
29,S>>E,0.5218128142300243,0.08080467320395965,21,0.0176330253077769
30,E>>S,0.5968791603315514,0.12521288882164883,21,0.02732369242901408
30,E>S,0.4829795051667133,0.11420575320055519,21,0.02492173851623759
30,S~E,0.4421352301210126,0.10710540328722763,21,0.023372315138213938
30,S>E,0.45386076118906055,0.10144020920377042,21,0.022136068437544478
30,S>>E,0.5042727453749889,0.09241901870763167,21,0.020167483280060093
31,E>>S,0.5926463379927637,0.15898924414058258,21,0.03469429742657305
31,E>S,0.4999735519711297,0.11956756898732297,21,0.026091782645060093
31,S~E,0.45795214680977925,0.09778120718514816,21,0.021337608736671492
31,S>E,0.47077503690765754,0.09455516921849125,21,0.02063362953776641
31,S>>E,0.5227404087240092,0.09806201964860531,21,0.021398887039999082
32,E>>S,0.5824145879169762,0.1420401807036844,21,0.030995708561897126
32,E>S,0.4954356619844513,0.1173271180168043,21,0.025602876161096327
32,S~E,0.46159871352071374,0.08370000141977191,21,0.018264837722572192
32,S>E,0.4713920393211141,0.10315627438034389,21,0.022510544559883796
32,S>>E,0.5138872226534922,0.09464379741886035,21,0.02065296979666637
33,E>>S,0.579612963814673,0.14322760596917278,21,0.031254825998144914
33,E>S,0.4957326718929541,0.1188997313908461,21,0.025946048533736634
33,S~E,0.4527380205066135,0.11444795023460531,21,0.024974590242029422
33,S>E,0.45870074449954173,0.0945774813633252,21,0.020638498446938713
33,S>>E,0.4935182628884107,0.11247914447977646,21,0.024544961603926187
34,E>>S,0.589628261616747,0.16115338067434953,21,0.0351665507351543
34,E>S,0.4845278710033218,0.12173046604531036,21,0.026563765477851733
34,S~E,0.45867621361491845,0.10799501344248916,21,0.023566443989427623
34,S>E,0.4397804301832681,0.10318360817901776,21,0.022516509283762542
34,S>>E,0.5182901531920243,0.0895130243310985,21,0.01953334331817537
35,E>>S,0.5747274892733782,0.13902605221967224,21,0.03033797180321578
35,E>S,0.4858544778926725,0.12642980341314725,21,0.027589244963768262
35,S~E,0.45170698962843664,0.1060485731907494,21,0.023141695904222558
35,S>E,0.45796421109190827,0.11225487282497329,21,0.024496021516575307
35,S>>E,0.500625753061824,0.081793555644178,21,0.017848817147572773
36,E>>S,0.5777713518452656,0.1282827925071899,21,0.027993600334500553
36,E>S,0.4768511889835804,0.12242021052572531,21,0.026714280063169806
36,S~E,0.4639718556385131,0.11480907800870853,21,0.025053394782999845
36,S>E,0.46098288913194696,0.0996111138947411,21,0.021736927118167552
36,S>>E,0.5179466340928073,0.10420135661247693,21,0.022738600199702988
37,E>>S,0.5870127535279711,0.14224316040177248,21,0.031040002363374647
37,E>S,0.4984357122249886,0.13884985481967377,21,0.03029952237832305
37,S~E,0.45562895679756515,0.1035014934343875,21,0.022585877533526456
37,S>E,0.4500170140661427,0.09875043630603171,21,0.021549111870585985
37,S>>E,0.5222856910158896,0.10537574790347798,21,0.022994873389536763
38,E>>S,0.604856992668345,0.14881061635326712,21,0.03247313874532762
38,E>S,0.47965443758361015,0.12745230224586776,21,0.027812372501813298
38,S~E,0.44822115300901,0.09539509543646807,21,0.020816916465007208
38,S>E,0.4659129070457149,0.10222987355419255,21,0.022308387326088173
38,S>>E,0.5095112709875399,0.08752643339537565,21,0.01909983363541998
39,E>>S,0.5954692469108059,0.14962050080212466,21,0.03264987002109225
39,E>S,0.5018121962783783,0.14072364724749228,21,0.030708417408661783
39,S~E,0.45031167226874075,0.09986928087557381,21,0.02179326377205346
39,S>E,0.45163093043179403,0.11343132957280747,21,0.024752745426041577
39,S>>E,0.4992241437782609,0.07565662163770136,21,0.01650962835616192
40,E>>S,0.5712752229746179,0.14993690694293585,21,0.03271891550159778
40,E>S,0.47988600904027395,0.11257918345600618,21,0.024566791898260405
40,S~E,0.44516264321807386,0.10890396213062026,21,0.02376479285448436
40,S>E,0.4436418252613531,0.1020093085810065,21,0.022260256102979555
40,S>>E,0.5197289721771823,0.08103593314884674,21,0.017683490365046257
41,E>>S,0.5618738322218524,0.13223214444969375,21,0.02885541958319316
41,E>S,0.4972192414700479,0.11888146519170704,21,0.025942062522297877
41,S~E,0.4480659119247508,0.0844038150750335,21,0.01841842245354266
41,S>E,0.4643834046448602,0.10131701716312214,21,0.022109185730340344
41,S>>E,0.5224201488294741,0.09773961725077183,21,0.021328533068936836
42,E>>S,0.5745718537646466,0.13739053120523126,21,0.029981071858007843
42,E>S,0.4879606250210752,0.1274103737569967,21,0.027803222955431073
42,S~E,0.44555067607997173,0.09610260501932358,21,0.020971307713499684
42,S>E,0.4545274026060068,0.08633861733772949,21,0.018840630921332004
42,S>>E,0.52353729702743,0.08031271859239439,21,0.017525672010349266
43,E>>S,0.6039704836735624,0.14562899287211087,21,0.031778851581744406
43,E>S,0.4854752771717543,0.12069521618535749,21,0.026337855437545712
43,S~E,0.45509660766084087,0.08610670949110288,21,0.018790024480311973
43,S>E,0.46994800573536805,0.10332204112142121,21,0.022546717828392987
43,S>>E,0.507779432593161,0.09174681280627958,21,0.02002079592646286
44,E>>S,0.5817912948129846,0.1393592171045074,21,0.03041067434148523
44,E>S,0.48356244241799407,0.12089730954033803,21,0.02638195582310028
44,S~E,0.44796522151065815,0.094867753459442,21,0.020701841011347703
44,S>E,0.45271044442435726,0.10641827425633729,21,0.023222371290773147
44,S>>E,0.5205418335713523,0.11292400973330118,21,0.024642039160989653
45,E>>S,0.5933750572708101,0.1240833813280297,21,0.02707721368675077
45,E>S,0.496348567482123,0.12936119638764954,21,0.02822892735411676
45,S~E,0.4469719209709726,0.0880828658832633,21,0.01922125715898559
45,S>E,0.460161299511633,0.0850235660813974,21,0.018553663210623024
45,S>>E,0.5126038556563977,0.09141647646328667,21,0.019948710626626672
46,E>>S,0.6065212659601898,0.15394117193286058,21,0.033592717759645
46,E>S,0.48777836576900374,0.14245662001038026,21,0.031086583068815635
46,S~E,0.46118313937397676,0.09792663369406827,21,0.021369343402632423
46,S>E,0.4615076754722724,0.10170634382862577,21,0.02219414377389916
46,S>>E,0.514822219106585,0.1158586889020164,21,0.025282438657706203
47,E>>S,0.6016948521662352,0.12810555467529341,21,0.0279549238687541
47,E>S,0.48442023806150625,0.12588728258237347,21,0.027470857212667732
47,S~E,0.4429376094567092,0.10001083184965132,21,0.021824152726977502
47,S>E,0.4546087187371216,0.09856502668923542,21,0.021508652175179235
47,S>>E,0.49982997572967364,0.09546030339192094,21,0.020831146007472736
48,E>>S,0.5991301449678416,0.13900761822037946,21,0.0303339491747815
48,E>S,0.48192026689851086,0.12920314200946942,21,0.028194437061167733
48,S~E,0.44523335857597746,0.1083771954332423,21,0.023649842937135963
48,S>E,0.46840203314973927,0.09210535748953592,21,0.02009903679079839
48,S>>E,0.5101076360249398,0.1060800149521529,21,0.023148557059061332
49,E>>S,0.6002516089742995,0.15644981094803925,21,0.03414014767290099
49,E>S,0.49446332958262296,0.11722497687150532,21,0.025580587135862896
49,S~E,0.4495136684725981,0.09719707616766929,21,0.021210140898415848
49,S>E,0.4508451223042153,0.10295463139932462,21,0.022466542453984877
49,S>>E,0.5038489238342536,0.07746379519186275,21,0.0169039859564413
50,E>>S,0.6093931438781253,0.14585205127427053,21,0.0318275269156631
50,E>S,0.4908170900081236,0.11879158086076373,21,0.025922448153234155
50,S~E,0.45588048894144545,0.10794476051799808,21,0.02355547790226699
50,S>E,0.46718710087534604,0.09210599609026339,21,0.02009917614490184
50,S>>E,0.5119445698235504,0.10823808968480354,21,0.02361948757419196
51,E>>S,0.5789166082669253,0.1226521524679315,21,0.02676489394445528
51,E>S,0.4730211795269418,0.14153294047259335,21,0.03088501966882562
51,S~E,0.4480315798384494,0.09971922578030167,21,0.02176051906574401
51,S>E,0.46228332361792257,0.10590688348137099,21,0.02311077667477385
51,S>>E,0.5294915916722411,0.10444321682714172,21,0.022791378425479167
52,E>>S,0.5870478457746544,0.12186622662935392,21,0.02659339086607893
52,E>S,0.5054373306894205,0.1288547739587328,21,0.028118416920110363
52,S~E,0.45002883041977154,0.08760998850590306,21,0.019118066855357708
52,S>E,0.4606072805140327,0.10507976977894999,21,0.02293028566764626
52,S>>E,0.5111566664361293,0.08713498010316986,21,0.0190144115238689
53,E>>S,0.5894893551526236,0.1515319232073784,21,0.03306697658571653
53,E>S,0.48661033279202326,0.11851925906269233,21,0.02586302266499374
53,S~E,0.4501390906408481,0.10093288858183726,21,0.02202536200175301
53,S>E,0.4462106633017258,0.09490362884726926,21,0.020709669662790763
53,S>>E,0.48091989298659044,0.09396797874016802,21,0.02050549407042005
54,E>>S,0.6151474178648739,0.14485782995453522,21,0.03161057003684282
54,E>S,0.47852889911232616,0.13574209525216457,21,0.029621353642140472
54,S~E,0.44283755345134035,0.10362396864787304,21,0.022612603816219476
54,S>E,0.446823021793835,0.1038557192769462,21,0.022663175949556684
54,S>>E,0.5244678670549364,0.08903384174006607,21,0.019428777104122455
55,E>>S,0.5557206966031585,0.1127754641413242,21,0.024609623855304578
55,E>S,0.5081686825923883,0.12220916538904518,21,0.0266682262386989
55,S~E,0.4454468391083059,0.10796030433908382,21,0.023558869842110527
