draw,subj_idx,dwell_quintile,subject_mean
6,17,E>>S,0.5
6,17,E>S,0.6176470588235294
6,17,S~E,0.4444444444444444
6,17,S>E,0.696969696969697
6,17,S>>E,0.5
6,19,E>>S,0.41509433962264153
6,19,E>S,0.38636363636363635
6,19,S~E,0.2753623188405797
6,19,S>E,0.4731182795698925
6,19,S>>E,0.46808510638297873
6,21,E>>S,0.7288135593220338
6,21,E>S,0.6875
6,21,S~E,0.625
6,21,S>E,0.5641025641025641
6,21,S>>E,0.4726027397260274
6,22,E>>S,0.48148148148148145
6,22,E>S,0.39285714285714285
6,22,S~E,0.46153846153846156
6,22,S>E,0.43820224719101125
6,22,S>>E,0.46511627906976744
6,23,E>>S,0.3953488372093023
6,23,E>S,0.5164835164835165
6,23,S~E,0.46534653465346537
6,23,S>E,0.5061728395061729
6,23,S>>E,0.4772727272727273
6,24,E>>S,0.5111111111111111
6,24,E>S,0.4805194805194805
6,24,S~E,0.48
6,24,S>E,0.5106382978723404
6,24,S>>E,0.44285714285714284
6,25,E>>S,0.5
6,25,E>S,0.36
6,25,S~E,0.7222222222222222
6,25,S>E,0.5652173913043478
6,25,S>>E,0.8
6,27,E>>S,0.33783783783783783
6,27,E>S,0.3142857142857143
6,27,S~E,0.373134328358209
6,27,S>E,0.4
6,27,S>>E,0.38181818181818183
7,1,E>>S,0.35
7,1,E>S,0.42105263157894735
7,1,S~E,0.3148148148148148
7,1,S>E,0.5087719298245614
7,1,S>>E,0.32432432432432434
7,3,E>>S,0.6363636363636364
7,3,E>S,0.4634146341463415
7,3,S~E,0.5267857142857143
7,3,S>E,0.4918032786885246
7,3,S>>E,0.5633802816901409
7,4,E>>S,0.37662337662337664
7,4,E>S,0.3
7,4,S~E,0.41025641025641024
7,4,S>E,0.5125
7,4,S>>E,0.47580645161290325
7,5,E>>S,0.5
7,5,E>S,0.3939393939393939
7,5,S~E,0.3088235294117647
7,5,S>E,0.3225806451612903
7,5,S>>E,0.4392523364485981
7,7,E>>S,0.44680851063829785
7,7,E>S,0.5471698113207547
7,7,S~E,0.3488372093023256
7,7,S>E,0.6078431372549019
7,7,S>>E,0.5072463768115942
7,8,E>>S,0.6923076923076923
7,8,E>S,0.4647887323943662
7,8,S~E,0.48148148148148145
7,8,S>E,0.5
7,8,S>>E,0.5454545454545454
7,10,E>>S,0.3524590163934426
7,10,E>S,0.42
7,10,S~E,0.5428571428571428
7,10,S>E,0.3181818181818182
7,10,S>>E,0.42857142857142855
7,11,E>>S,0.6521739130434783
7,11,E>S,0.5584415584415584
7,11,S~E,0.5247524752475248
7,11,S>E,0.5076923076923077
7,11,S>>E,0.5352112676056338
7,12,E>>S,0.574468085106383
7,12,E>S,0.5192307692307693
7,12,S~E,0.4594594594594595
7,12,S>E,0.425531914893617
7,12,S>>E,0.5384615384615384
7,13,E>>S,0.3787878787878788
7,13,E>S,0.3902439024390244
7,13,S~E,0.4838709677419355
7,13,S>E,0.6
7,13,S>>E,0.546875
7,15,E>>S,0.5925925925925926
7,15,E>S,0.5569620253164557
7,15,S~E,0.5742574257425742
7,15,S>E,0.5316455696202531
7,15,S>>E,0.5675675675675675
7,16,E>>S,0.5109489051094891
7,16,E>S,0.4583333333333333
7,16,S~E,0.4426229508196721
7,16,S>E,0.37254901960784315
7,16,S>>E,0.3783783783783784
7,17,E>>S,0.5714285714285714
