rep,subj,parameter,true
0,13,a(medium),2.081779672806439
0,13,t,0.48128795516310924
0,13,z,0.5755370828205907
0,13,v_ES_AttentionW,0.030330604728687746
0,13,v_ES_InattentionW_E,-0.03482732322965067
0,13,v_ES_InattentionW_S,0.047914032729599376
0,15,a(high),1.829793683646007
0,15,a(low),2.1875232100511472
0,15,a(medium),2.081779672806439
0,15,t,0.451111757199489
0,15,z,0.6375627185935419
0,15,v_ES_AttentionW,0.041359711490205626
0,15,v_ES_InattentionW_E,-0.02798504856816319
0,15,v_ES_InattentionW_S,0.04723842425666208
0,16,a(high),1.829793683646007
0,16,a(low),2.1875232100511472
0,16,a(medium),2.081779672806439
0,16,t,0.45516336471269686
0,16,z,0.5921895020265078
0,16,v_ES_AttentionW,0.02051045190280076
0,16,v_ES_InattentionW_E,-0.04327896479689055
0,16,v_ES_InattentionW_S,0.039837306911162766
0,17,a(high),1.829793683646007
0,17,a(low),2.1875232100511472
0,17,a(medium),2.081779672806439
0,17,t,0.40177932657559323
0,17,z,0.4209245241727828
0,17,v_ES_AttentionW,0.057130406859902144
0,17,v_ES_InattentionW_E,-0.05164372652769592
0,17,v_ES_InattentionW_S,0.05963020739881797
0,18,a(high),1.829793683646007
0,18,a(low),2.1875232100511472
0,18,a(medium),2.081779672806439
0,18,t,0.3417225701182673
0,18,z,0.40963645968247164
0,18,v_ES_AttentionW,0.04060497717337133
0,18,v_ES_InattentionW_E,-0.02940466957796933
0,18,v_ES_InattentionW_S,0.05609369981821291
0,19,a(high),1.829793683646007
0,19,a(low),2.1875232100511472
0,19,a(medium),2.081779672806439
0,19,t,0.4841696124607248
0,19,z,0.40702146096874353
0,19,v_ES_AttentionW,0.03285072292004519
0,19,v_ES_InattentionW_E,-0.025242603309171288
0,19,v_ES_InattentionW_S,0.043676717330494
0,20,a(high),1.829793683646007
0,20,a(low),2.1875232100511472
0,20,a(medium),2.081779672806439
0,20,t,0.3651462352244911
0,20,z,0.2587828246559005
0,20,v_ES_AttentionW,0.027180516712876624
0,20,v_ES_InattentionW_E,-0.030768700437949607
0,20,v_ES_InattentionW_S,0.04826816156914114
0,21,a(high),1.829793683646007
0,21,a(low),2.1875232100511472
0,21,a(medium),2.081779672806439
0,21,t,0.4782523722928692
0,21,z,0.39218411428039196
0,21,v_ES_AttentionW,0.040552711424555514
0,21,v_ES_InattentionW_E,-0.028801724425972217
