rep,parameter,true,recovered
10,v_z_IAW_chart:C(OVcate)[low],1.465973786394238,1.5028221174899727
10,v_z_IAW_chart:C(OVcate)[medium],1.1965259473184524,1.2932474351651453
10,v_z_IAW_chart:C(OVcate)[high],1.2580950821869854,1.2981047772669585
10,v_z_IAW_image:C(OVcate)[low],0.8394523579846789,0.9027754843303846
10,v_z_IAW_image:C(OVcate)[medium],0.8242807386010954,0.7929131486882837
10,v_z_IAW_image:C(OVcate)[high],0.9067149604059038,0.9514898942853504
11,t,0.42120287805162626,0.42918473095516335
11,a(low),2.079524478180292,2.061969301642694
11,a(medium),2.1308864007520385,2.056460635222292
11,a(high),2.2217620093910773,2.1452249708700246
11,v_Intercept,1.5196885435264895,1.515844988831061
11,v_z_AttentionW,1.31419163540371,1.2664846561359129
11,v_z_IAW_chart:C(OVcate)[low],1.4129340515463253,1.4106663745782626
11,v_z_IAW_chart:C(OVcate)[medium],1.2177862489648708,1.1566868623387878
11,v_z_IAW_chart:C(OVcate)[high],1.3855468314684056,1.3977337705529045
11,v_z_IAW_image:C(OVcate)[low],0.8676298111237444,0.9058730958866188
11,v_z_IAW_image:C(OVcate)[medium],0.9089142945853752,0.8710432917098561
11,v_z_IAW_image:C(OVcate)[high],0.8433724350614844,0.8211114159015644
12,t,0.4505486117035551,0.46506180263861574
12,a(low),2.17208365493989,2.0826449749144413
12,a(medium),1.9954938190002796,1.887430261858794
12,a(high),1.9214592838439466,1.8252293705399065
12,v_Intercept,1.7371068356750794,1.7477443681024611
12,v_z_AttentionW,1.3168311846337295,1.201974305096162
12,v_z_IAW_chart:C(OVcate)[low],1.194978255931985,1.120328312228617
12,v_z_IAW_chart:C(OVcate)[medium],1.5375038936765735,1.516062795079384
12,v_z_IAW_chart:C(OVcate)[high],1.3409934869075473,1.2876248039327984
12,v_z_IAW_image:C(OVcate)[low],1.2466655868957082,1.2547056549944204
12,v_z_IAW_image:C(OVcate)[medium],0.7905034879584181,0.7013901322067668
12,v_z_IAW_image:C(OVcate)[high],0.9983079230244636,0.90842376951076
13,t,0.42977434457199093,0.43282881729908457
13,a(low),2.2349536208187324,2.2185196756345826
13,a(medium),2.005577385162867,2.020100638614558
13,a(high),1.9473082836052624,1.9418539666029264
13,v_Intercept,1.52436245739157,1.5664476144882074
13,v_z_AttentionW,1.1298028418031105,1.0821949660250767
13,v_z_IAW_chart:C(OVcate)[low],1.3166328754591685,0.7070359409110701
13,v_z_IAW_chart:C(OVcate)[medium],1.1475096562312317,1.2050452811165713
13,v_z_IAW_chart:C(OVcate)[high],0.972269976338898,0.8985183199555652
13,v_z_IAW_image:C(OVcate)[low],0.8777908552463696,0.8983231004254114
13,v_z_IAW_image:C(OVcate)[medium],0.9111073524432428,0.8742250263796868
13,v_z_IAW_image:C(OVcate)[high],0.9592795694411649,0.9077102322369459
14,t,0.40344376218491085,0.41025654918063176
14,a(low),1.960678132372223,1.936878429423289
14,a(medium),2.292435209150224,2.268344367580961
14,a(high),1.8481830938586894,1.8424985402902265
