param,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(high).17,2.126133514502604,0.1534514784252307,1.845388844963928,2.019512344850151,2.119482067840136,2.2272092169259827,2.4455666266306952,0.0014023131249329
a_subj(high).19,1.5163632795252464,0.0773322330710772,1.372880314372065,1.462713817526376,1.5141467409818952,1.5663182456736255,1.676682197623092,0.0009316320896612
a_subj(high).21,1.4096354861394982,0.0717885032311436,1.2739750618282089,1.3595070867566927,1.4081149971653126,1.4569628007599644,1.5550269299724948,0.0006871780203829
a_subj(high).22,1.2293511377349229,0.0613305254610886,1.113520209865266,1.1867258730842096,1.2280871800165287,1.2697060450761248,1.3532523467636195,0.0005621189977253
a_subj(high).23,1.50097105995393,0.0835266885258176,1.3425449280409496,1.4434334153194286,1.4994208846174009,1.555532250267907,1.6705789867151153,0.0010602713075415
a_subj(high).24,1.8206762118440083,0.1019101517359479,1.6305622831944824,1.7504458951556718,1.817254939344126,1.887387370033263,2.028139556009676,0.001343309542646
a_subj(high).25,1.3123670185956942,0.1161482723667451,1.0950555822136647,1.233323577581536,1.3083189560656967,1.3868849278055708,1.552604277077743,0.0013407728092974
a_subj(high).27,1.3161115323574966,0.0647928218958795,1.1924329747637683,1.2714220254630246,1.3154813113512682,1.3588093760090056,1.4466372077802203,0.0005108158051234
a_subj(low).1,2.364787895602188,0.0963766230212112,2.182204517889092,2.297779127228129,2.362830020648183,2.4297593290933506,2.5566432041164218,0.0010525447747012
a_subj(low).3,2.3252049212919457,0.1081218228467465,2.1214267042710797,2.2511765271502107,2.322025589353068,2.3976155374496244,2.5408421981140883,0.0010501747678162
a_subj(low).4,2.051624240251135,0.0995797392539297,1.8654126564456883,1.9820675264836352,2.047976636655986,2.116080383676987,2.2579980723039297,0.0011206379671189
a_subj(low).5,2.13131406366749,0.1035319859649001,1.9358861280320832,2.05956419664807,2.127853721464069,2.1998382526833424,2.3442995258875623,0.0011047080031693
a_subj(low).7,2.20929390931469,0.0953324299491545,2.028388613526145,2.1432989168786887,2.207327053010652,2.2726693870934342,2.4015939442800485,0.0011158125878387
a_subj(low).8,1.7929158413877762,0.0802750096877716,1.6401445606877303,1.737563484673784,1.7922226595347597,1.8468873847250404,1.9535711057971337,0.001107002344181
a_subj(low).10,1.253841409079387,0.0621028540897002,1.1372422870999856,1.210867061663608,1.2521780583967952,1.2949549717243494,1.379326086013337,0.0006163905350229
a_subj(low).11,1.7701075926220835,0.0804892777870581,1.6172555690840973,1.7152536077380731,1.7677602257635558,1.8227218450679272,1.935067480846839,0.0008050208241068
a_subj(low).12,2.235058978496464,0.099858016490122,2.047156477762891,2.165881919941073,2.2328533328006768,2.300682529368227,2.438073339940193,0.0009571960027223
a_subj(low).13,2.166436111203544,0.102602941727056,1.9732907910075148,2.0953132240698187,2.1646972731105723,2.235277950258213,2.374773138785834,0.0012373117530303
a_subj(low).15,1.6353808383599555,0.0688492479742274,1.5004222141389054,1.5891843850151828,1.6346150395392869,1.6816155219176905,1.7726636287357975,0.0007652158347608
a_subj(low).16,3.3596827955454085,0.1675397284503992,3.0443206771900044,3.2463865041055584,3.354451663220879,3.4682873508932635,3.702504036433239,0.0020686499576092
a_subj(low).17,2.0009172812766614,0.1109802207197056,1.788051982440163,1.9266095953956044,1.997675159901759,2.074825755927612,2.222010937945134,0.0010808168401479
a_subj(low).19,1.8581495978149465,0.07912860302811,1.709744204907333,1.8042816467157372,1.85540995079195,1.9099708130384996,2.018394965856497,0.0008532245040386
a_subj(low).21,1.749818447850295,0.0719046345663097,1.6141458208056592,1.6998119502578817,1.748437641201414,1.7976991796606914,1.8960109556542049,0.0006965271619841
