rt,response,subj_idx,condition,OVcate,ES_AttentionW,ES_InattentionW_E,ES_InattentionW_S
1.189472214786284,1.0,1,none,high,-34.210526315789465,29.53560371517028,53.74613003095975
1.8654722147865097,1.0,1,none,medium,4.0924657534246585,9.297945205479452,55.2054794520548
0.9744722147822047,0.0,1,none,medium,-39.22779922779922,27.181467181467177,26.409266409266408
0.9854722147862158,1.0,1,none,low,5.673330818559035,3.134666163711807,27.46133534515277
1.5234722147863955,1.0,1,none,high,-32.4945770065076,20.19522776572668,42.68980477223428
2.267472214786644,1.0,1,none,low,-6.176470588235295,14.294117647058822,10.470588235294118
0.8274722147861631,1.0,1,none,low,-9.744245524296671,7.595907928388748,37.34015345268542
1.6174722147864269,1.0,1,none,low,7.056978567694717,26.889702038682696,9.832723470987975
1.5234722147863955,1.0,1,none,high,-54.87004103967169,19.76060191518467,54.63064295485636
2.0354722147825592,0.0,1,none,low,-12.972972972972975,7.297297297297296,30.270270270270277
0.7834722147861484,1.0,1,none,medium,-6.675291073738681,2.664941785252264,69.34023285899094
0.7844722147861487,1.0,1,none,medium,57.140672782874624,15.428134556574925,18.287461773700304
1.0974722147822458,0.0,1,none,medium,0.5680119581464957,58.5949177877429,8.02690582959641
2.94047221478687,1.0,1,none,medium,29.656729900632342,25.329719963866303,25.67299006323396
1.6474722147824294,0.0,1,none,medium,0.8600469116497305,55.11336982017201,4.253322908522282
1.307472214782316,0.0,1,none,high,50.0,80.0,0.0
0.7004722147861207,1.0,1,none,low,40.0,30.0,0.0
2.4964722147867207,1.0,1,none,high,33.26028861571353,48.18813468733298,24.927846071619456
0.9784722147862135,1.0,1,none,medium,5.164644714038127,4.575389948006932,69.41074523396881
1.7854722147824755,0.0,1,none,low,-7.027027027027026,26.37837837837838,3.4054054054054053
0.8824722147861814,1.0,1,none,low,10.99202834366696,3.49867139061116,32.5066430469442
1.8564722147865067,1.0,1,none,high,4.612579762989974,39.81768459434822,45.20510483135825
2.1584722147826003,0.0,1,none,high,-16.89863842662632,41.11951588502269,38.01815431164901
0.8804722147861808,1.0,1,none,medium,60.63018242122719,14.660033167495854,24.029850746268657
1.6094722147864242,1.0,1,none,medium,26.80333119795003,24.29212043561819,27.48878923766816
1.3824722147863484,1.0,1,none,low,6.691015339663984,8.897005113221327,22.20598977355734
0.7374722147821255,0.0,1,none,medium,-6.834400731930462,53.21134492223239,10.045745654162852
1.7294722147864643,1.0,1,none,low,-10.771106370009145,16.702224931423345,17.473331301432488
0.8544722147821646,0.0,1,none,high,-22.337796086508757,33.83110195674562,56.16889804325437
0.7784722147861467,1.0,1,none,low,36.7815299793246,16.22329427980703,9.441764300482426
2.2734722147826387,0.0,1,none,high,-15.745218332731866,34.26921688920967,40.01443522194153
3.0584722147869075,1.0,1,none,high,-32.242577384712575,25.47062539481996,47.71320277953253
1.074472214782238,0.0,1,none,low,-4.391447368421046,47.66447368421053,2.055921052631578
1.785472214786483,1.0,1,none,medium,14.667431192660546,2.740825688073394,58.07339449541284
2.0494722147865714,1.0,1,none,high,-57.1264367816092,18.491379310344826,55.61781609195402
1.0624722147862415,1.0,1,none,high,-33.20224719101124,17.17228464419475,60.37453183520599
1.1184722147822528,0.0,1,none,medium,8.339731285988483,60.93090211132437,2.591170825335892
2.5254722147867303,1.0,1,none,medium,-51.32723112128146,10.892448512585808,42.21967963386727
0.9294722147821897,0.0,1,none,low,-14.864479315263909,16.75701378982406,11.62149310508797
1.6924722147824445,0.0,1,none,low,-8.487394957983192,53.82352941176471,2.310924369747899
4.270472214787312,1.0,1,none,high,-60.43010752688173,17.741935483870968,48.17204301075269
2.6314722147867657,1.0,1,none,high,-34.316163410301954,17.84191829484902,52.15808170515098
3.2344722147829597,0.0,1,none,high,30.457890433360586,41.74979558462796,21.29190515126737
1.5694722147824034,0.0,1,none,high,-50.42379182156134,18.200743494423797,38.62453531598513
0.7034722147861217,1.0,1,none,medium,-4.229222520107243,15.89812332439678,30.12734584450402
1.0964722147822454,0.0,1,none,low,-1.067193675889328,21.699604743083004,2.766798418972332
1.1824722147862816,1.0,1,none,low,-23.00653594771242,11.328976034858384,14.335511982570806
1.0714722147862445,1.0,1,none,high,-52.99589603283174,15.430916552667576,48.42681258549932
1.6484722147864372,1.0,1,none,low,-7.801445416508178,8.13236972232788,5.933815138836059
1.3434722147863354,1.0,1,none,low,18.124452234881684,12.70815074496056,14.583698510078875
0.7534722147861384,1.0,1,none,medium,-5.095367847411442,11.634877384196184,56.730245231607626
1.442472214782361,0.0,1,none,low,0.2121023081721791,10.106051154086089,9.89394884591391
1.3164722147863264,1.0,1,none,high,59.29953302201467,30.553702468312206,21.25416944629753
0.7544722147821312,0.0,1,none,medium,-63.146067415730336,13.483146067415728,16.629213483146067
0.8024722147821473,0.0,1,none,medium,40.0,80.0,0.0
1.6384722147824264,0.0,1,none,medium,-42.451361867704286,9.57198443579766,42.023346303501945
1.291472214786318,1.0,1,none,low,-29.377085650723025,8.498331479421577,7.875417130144605
0.8314722147821569,0.0,1,none,medium,25.23862375138735,42.61931187569368,17.380688124306324
